Lead Name,Category,Priority,Status,Suggested Contact Channel,Website / Contact Page,Instagram Link,Facebook Link,Google Search Link,IG Search Link,Last Contact Date,Follow-up Date,Notes,Website Link,Best Contact Link
Friends of the Earth Malta,Environment NGO,Community workshops,High,Not Contacted,Website / Social,https://foemalta.org/,https://www.google.com/search?q=Friends+of+the+Earth+Malta+events,,,Promote workshops/community events,NGO with events,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Majjistral Nature and History Park,Environment / Heritage,Nature events,High,Not Contacted,Website / Social,https://majjistral.org/,https://www.google.com/search?q=Majjistral+Park+events,,,Promote nature walks and community events,Public/nonprofit fit,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Gabriel Caruana Foundation,Arts NGO,Art workshops/exhibitions,High,Not Contacted,Website / Social,https://gabrielcaruanafoundation.org/,https://www.google.com/search?q=Gabriel+Caruana+Foundation+events,,,Promote workshops/exhibitions,Strong arts/community angle,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Valletta Design Cluster,Community Culture,Design talks/workshops,High,Not Contacted,Website / Social,https://www.vca.gov.mt/en/valletta-design-cluster,https://www.google.com/search?q=Valletta+Design+Cluster+events,,,Promote design talks and community sessions,Recurring programme,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
A?enzija ?g?a?ag?,Youth Organisation,Youth events,High,Not Contacted,Website / Social,https://youth.gov.mt/,https://www.google.com/search?q=Agenzija+Zghazagh+events,,,Promote youth opportunities/events,Good for youth audience,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Local Councils Association Malta,Local Councils,Council network,High,Not Contacted,Website / Social,https://www.lca.org.mt/,https://www.google.com/search?q=Malta+local+councils+events,,,Ask to share free listing with councils,Network leverage,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Sliema Local Council,Local Council,Community events,High,Not Contacted,Website / Social,https://sliemalocalcouncil.com/,https://www.google.com/search?q=Sliema+Local+Council+events,,,Promote local community events,Fits Teatru Salesjan area,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Valletta Local Council,Local Council,Community events,High,Not Contacted,Website / Social,https://www.google.com/search?q=Valletta+Local+Council+events,https://www.google.com/search?q=Valletta+Local+Council+Facebook,,,Promote local cultural events,High event density,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Birgu Local Council,Local Council,Heritage/community events,High,Not Contacted,Website / Social,https://www.google.com/search?q=Birgu+Local+Council+events,https://www.google.com/search?q=Birgu+Local+Council+Facebook,,,Promote heritage/community events,Likely events around Birgufest-type activity,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
G?aqda Drammatika San Lawrenz,Community Theatre,Gozo amateur theatre,High,Not Contacted,Website / Social,https://www.google.com/search?q=Ghaqda+Drammatika+San+Lawrenz+Gozo,https://www.google.com/search?q=Ghaqda+Drammatika+San+Lawrenz+Facebook,,,Promote village theatre/community productions,Good Salesian-like lead,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
"The Mill - Art, Culture and Crafts Centre",Community Culture,Arts/exhibitions,High,Not Contacted,Website / Social,https://www.google.com/search?q=The+Mill+Art+Culture+and+Crafts+Centre+Malta,https://www.google.com/search?q=The+Mill+Malta+events,,,Promote small exhibitions/workshops,Verify contact,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
FM Theatre Productions,Community Theatre,Theatre production,Medium,Not Contacted,Website / Social,https://www.fmt.com.mt/,https://www.google.com/search?q=FM+Theatre+Productions+Malta+contact,,,Extra distribution for local productions,More established; still useful,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Teatru Malta,Public Culture,National theatre org,Medium,Not Contacted,Website / Social,https://teatrumalta.org.mt/,https://www.google.com/search?q=Teatru+Malta+contact,,,Include national theatre events and community projects,Public cultural organisation,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
?finMalta,Public Culture,Dance company,Medium,Not Contacted,Website / Social,https://www.zfinmalta.org/,https://www.google.com/search?q=ZfinMalta+contact,,,Promote dance performances/workshops,National dance company,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Philharmonic Orchestra,Public Culture,Music institution,Medium,Not Contacted,Website / Social,https://www.maltaorchestra.com/,https://www.google.com/search?q=Malta+Philharmonic+Orchestra+events,,,List concerts and educational events,Cultural credibility,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Spazju Kreattiv,Public Culture,Arts centre,Medium,Not Contacted,Website / Social,https://www.kreattivita.org/,https://www.instagram.com/spazjukreattiv/,,,Help users discover exhibitions/film/talks,Established cultural venue,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Pjazza Teatru Rjal,Public Culture,Performance venue,Medium,Not Contacted,Website / Social,https://www.pjazzateatrurjal.mt/,https://www.google.com/search?q=Pjazza+Teatru+Rjal+contact,,,Extra discovery for open-air performances,Major cultural venue,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Valletta Cultural Agency,Public Culture,City cultural programme,Medium,Not Contacted,Website / Social,https://www.vca.gov.mt/,https://www.google.com/search?q=Valletta+Cultural+Agency+events,,,Aggregate Valletta cultural events,Runs city programme,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Heritage Malta,Public Culture,Museums/events,Medium,Not Contacted,Website / Social,https://heritagemalta.mt/,https://www.google.com/search?q=Heritage+Malta+events,,,Aggregate museum and heritage events,Large but useful for content,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Arts Council Malta,Public Culture,Funding/events ecosystem,Medium,Not Contacted,Website / Social,https://artscouncilmalta.gov.mt/,https://www.google.com/search?q=Arts+Council+Malta+events,,,Ask for visibility/partners list,Can surface many smaller orgs,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Richmond Foundation Malta,NGO / Community,Wellbeing events,Medium,Not Contacted,Website / Social,https://www.richmond.org.mt/,https://www.google.com/search?q=Richmond+Foundation+Malta+events,,,List wellbeing/community awareness events,NGO,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Inspire Malta,NGO / Community,Inclusion/fundraising,Medium,Not Contacted,Website / Social,https://inspire.org.mt/,https://www.google.com/search?q=Inspire+Malta+events,,,Promote fundraising/community events,NGO,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Puttinu Cares,NGO / Community,Fundraising events,Medium,Not Contacted,Website / Social,https://puttinucares.org/,https://www.google.com/search?q=Puttinu+Cares+events,,,Promote charity events free,Charity events,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Hospice Malta,NGO / Community,Fundraising/community,Medium,Not Contacted,Website / Social,https://hospicemalta.org/,https://www.google.com/search?q=Hospice+Malta+events,,,Promote charity fundraising events,NGO,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Fondazzjoni Seb?,NGO / Community,Community support,Medium,Not Contacted,Website / Social,https://sebh.mt/,https://www.google.com/search?q=Fondazzjoni+Sebh+events,,,Promote fundraising/community events,NGO,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
The Malta Trust Foundation,NGO / Community,Community/fundraising,Medium,Not Contacted,Website / Social,https://maltatrustfoundation.org/,https://www.google.com/search?q=Malta+Trust+Foundation+events,,,Promote community fundraising events,NGO,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Playmobil FunPark Malta,Family / Kids,Kids venue,Medium,Not Contacted,Website / Social,https://www.playmobilmalta.com/funpark/,https://www.google.com/search?q=Playmobil+FunPark+Malta+events,,,Promote kids events and family activities,Family audience,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta National Aquarium,Family / Kids,Family venue,Medium,Not Contacted,Website / Social,https://www.aquarium.com.mt/,https://www.google.com/search?q=Malta+National+Aquarium+events,,,Promote family events/workshops,Family audience,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Greenhouse Malta,Community / Sustainability,Workshops/events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Greenhouse+Malta+sustainability+events,https://www.google.com/search?q=Greenhouse+Malta+Instagram,,,Promote sustainability community events,Verify before outreach,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
The Veg Box Malta,Community / Sustainability,Market/workshops,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=The+Veg+Box+Malta+events,https://www.google.com/search?q=The+Veg+Box+Malta+Instagram,,,Promote farm/community events,Verify before outreach,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Merill Eco Tours,Eco / Community,Tours/events,Medium,Not Contacted,Website / Social,https://www.merillecotours.com/,https://www.google.com/search?q=Merill+Eco+Tours+events,,,Promote local eco/cultural experiences,Potential paid/SME,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
MCAST Institute for Creative Arts,Education / Culture,Student events,Medium,Not Contacted,Website / Social,https://www.mcast.edu.mt/,https://www.google.com/search?q=MCAST+creative+arts+events,,,Promote student shows/exhibitions,Education-related events,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
University of Malta Events,Education / Culture,Talks/events,Medium,Not Contacted,Website / Social,https://www.um.edu.mt/events/,https://www.google.com/search?q=University+of+Malta+events,,,List public talks and cultural events,Broad supply,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Floriana Local Council,Local Council,Community events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Floriana+Local+Council+events,https://www.google.com/search?q=Floriana+Local+Council+Facebook,,,Promote local cultural/community events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Birkirkara Local Council,Local Council,Community events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Birkirkara+Local+Council+events,https://www.google.com/search?q=Birkirkara+Local+Council+Facebook,,,Promote local events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Mosta Local Council,Local Council,Community events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Mosta+Local+Council+events,https://www.google.com/search?q=Mosta+Local+Council+Facebook,,,Promote local events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Rabat Local Council,Local Council,Community/heritage events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Rabat+Malta+Local+Council+events,https://www.google.com/search?q=Rabat+Malta+Local+Council+Facebook,,,Promote heritage/community events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Mdina Local Council,Local Council,Heritage events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Mdina+Local+Council+events,https://www.google.com/search?q=Mdina+Local+Council+Facebook,,,Promote heritage events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Bormla Local Council,Local Council,Community events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Bormla+Local+Council+events,https://www.google.com/search?q=Bormla+Local+Council+Facebook,,,Promote community events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Senglea Local Council,Local Council,Community events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Senglea+Local+Council+events,https://www.google.com/search?q=Senglea+Local+Council+Facebook,,,Promote community events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
?ejtun Local Council,Local Council,Community events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Zejtun+Local+Council+events,https://www.google.com/search?q=Zejtun+Local+Council+Facebook,,,Promote local/community events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Qormi Local Council,Local Council,Community events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Qormi+Local+Council+events,https://www.google.com/search?q=Qormi+Local+Council+Facebook,,,Promote local events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
?abbar Local Council,Local Council,Community events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Zabbar+Local+Council+events,https://www.google.com/search?q=Zabbar+Local+Council+Facebook,,,Promote local events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Marsaskala Local Council,Local Council,Community events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Marsaskala+Local+Council+events,https://www.google.com/search?q=Marsaskala+Local+Council+Facebook,,,Promote local/community events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Mellie?a Local Council,Local Council,Community events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Mellieha+Local+Council+events,https://www.google.com/search?q=Mellieha+Local+Council+Facebook,,,Promote local/community events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Victoria Local Council Gozo,Local Council,Gozo/community events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Victoria+Gozo+Local+Council+events,https://www.google.com/search?q=Victoria+Gozo+Local+Council+Facebook,,,Promote Gozo events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Gozo Cultural Council / Cultural Events,Gozo Culture,Culture/community,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Gozo+cultural+events+council,https://www.google.com/search?q=Gozo+cultural+events+Facebook,,,Promote Gozo cultural events,Verify best contact,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
St James Cavalier / Valletta arts groups,Community Culture,Arts venue/ecosystem,Medium,Not Contacted,Website / Social,https://www.kreattivita.org/,https://www.google.com/search?q=St+James+Cavalier+Malta+events,,,Promote cultural events,Same ecosystem as Spazju Kreattiv,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Il-?a?ar Museum Gozo,Heritage / Museum,Museum events,Medium,Not Contacted,Website / Social,https://heartofgozo.org.mt/,https://www.google.com/search?q=Il-Hagar+Museum+events,,,Promote talks/exhibitions,Gozo cultural lead,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Ta’ Klula Foundation,Community Culture,Gozo arts/community,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Ta+Klula+Foundation+Gozo+events,https://www.google.com/search?q=Ta+Klula+Foundation+Facebook,,,Promote community arts events,Verify before outreach,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
The Gozo Youth Wind Band & Orchestra,Community Music,Concerts/community,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=Gozo+Youth+Wind+Band+Orchestra+events,https://www.google.com/search?q=Gozo+Youth+Wind+Band+Facebook,,,Promote local concerts,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
La Stella Philharmonic Society,Community Music,Band club/events,Medium,Not Contacted,Website / Social,https://lastella.com.mt/,https://www.google.com/search?q=La+Stella+Philharmonic+Society+events,,,Promote concerts and community events,Gozo,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Leone Philharmonic Society,Community Music,Band club/events,Medium,Not Contacted,Website / Social,https://www.leone.org.mt/,https://www.google.com/search?q=Leone+Philharmonic+Society+events,,,Promote concerts and community events,Gozo,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
King's Own Band Club Valletta,Community Music,Band club/events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=King%27s+Own+Band+Club+Valletta+events,https://www.google.com/search?q=Kings+Own+Band+Club+Facebook,,,Promote concerts/local events,Band clubs are good local sources,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
La Valette National Philharmonic Society,Community Music,Band club/events,Medium,Not Contacted,Website / Social,https://www.google.com/search?q=La+Valette+National+Philharmonic+Society+events,https://www.google.com/search?q=La+Valette+Band+Club+Facebook,,,Promote concerts/local events,,,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Gianpula Village,Nightlife,High,Not Contacted,Instagram/Facebook,https://gianpulavillage.com/,https://www.instagram.com/gianpulavillage_malta/,https://www.facebook.com/gianpulavillagemalta/,https://www.google.com/search?q=Gianpula%20Village%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Gianpula%20Village%20Malta%20Instagram,,,Known recurring nightlife venue; direct links verified,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
UNO Malta,Nightlife,High,Not Contacted,Instagram/Website,https://unomalta.com/,https://www.instagram.com/unomalta/,https://www.facebook.com/unomalta/,https://www.google.com/search?q=UNO%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=UNO%20Malta%20Malta%20Instagram,,,Known large venue; direct links verified,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Café del Mar Malta,Nightlife,High,Not Contacted,Instagram/Website,,,,https://www.google.com/search?q=Caf%C3%A9%20del%20Mar%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Caf%C3%A9%20del%20Mar%20Malta%20Malta%20Instagram,,,Sunset/music events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Sky Club Malta,Nightlife,High,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Sky%20Club%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Sky%20Club%20Malta%20Malta%20Instagram,,,Club/student nights,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Liquid Club Malta,Nightlife,High,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Liquid%20Club%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Liquid%20Club%20Malta%20Malta%20Instagram,,,Club/electronic music,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Havana Club Malta,Nightlife,High,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Havana%20Club%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Havana%20Club%20Malta%20Malta%20Instagram,,,Paceville nightlife,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Footloose Malta,Nightlife,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Footloose%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Footloose%20Malta%20Malta%20Instagram,,,Paceville nightlife,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Tigullio Malta,Nightlife,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Tigullio%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Tigullio%20Malta%20Malta%20Instagram,,,Nightlife / events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Native Bar Malta,Nightlife,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Native%20Bar%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Native%20Bar%20Malta%20Malta%20Instagram,,,Bar/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Shadow Lounge Malta,Nightlife,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Shadow%20Lounge%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Shadow%20Lounge%20Malta%20Malta%20Instagram,,,Lounge/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Playground Malta,Nightlife,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Playground%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Playground%20Malta%20Malta%20Instagram,,,Nightlife brand/venue,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Toy Room Malta,Nightlife,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Toy%20Room%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Toy%20Room%20Malta%20Malta%20Instagram,,,Nightlife brand/venue,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Clique Malta,Nightlife,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Clique%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Clique%20Malta%20Malta%20Instagram,,,Nightlife brand,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
The Thirsty Barber,Nightlife,Medium,Not Contacted,Instagram/Website,,,,https://www.google.com/search?q=The%20Thirsty%20Barber%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=The%20Thirsty%20Barber%20Malta%20Instagram,,,Bar/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
TwentyTwo Malta,Nightlife,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=TwentyTwo%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=TwentyTwo%20Malta%20Malta%20Instagram,,,Club/lounge events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Glitch Festival,Festival / Music,High,Not Contacted,Instagram/Website,,,,https://www.google.com/search?q=Glitch%20Festival%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Glitch%20Festival%20Malta%20Instagram,,,Major electronic festival,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Lost & Found Festival Malta,Festival / Music,High,Not Contacted,Instagram/Website,,,,https://www.google.com/search?q=Lost%20%26%20Found%20Festival%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Lost%20%26%20Found%20Festival%20Malta%20Malta%20Instagram,,,Major international festival,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
District Malta,Promoter,High,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=District%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=District%20Malta%20Malta%20Instagram,,,Event promoter,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Life Events Malta,Promoter,High,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Life%20Events%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Life%20Events%20Malta%20Malta%20Instagram,,,Promoter,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
